iter	MultiClass
0	1.08432464
1	1.077073102
2	1.069030967
3	1.057923291
4	1.052473698
5	1.049481141
6	1.045898289
7	1.041444136
8	1.037627366
9	1.034680025
10	1.031507216
11	1.028234518
12	1.025376908
13	1.02484521
14	1.023645311
15	1.020474314
16	1.019640668
17	1.018178485
18	1.014239176
19	1.01037598
20	1.009381149
21	1.008830484
22	1.006710317
23	0.9986643634
24	0.9967691044
25	0.9942856746
26	0.9931062246
27	0.9925663529
28	0.9916124921
29	0.9906268961
30	0.9895126292
31	0.9867421466
32	0.9855862596
33	0.9838992715
34	0.9819418474
35	0.9814215021
36	0.9808300636
37	0.9743268444
38	0.9709420587
39	0.9707417715
40	0.9664599091
41	0.964118344
42	0.9637542798
43	0.963294572
44	0.9601597602
45	0.9557934321
46	0.9454415849
47	0.9437911669
48	0.9369871953
49	0.936008158
50	0.931370088
51	0.9267920662
52	0.922330295
53	0.9196945026
54	0.9137114913
55	0.9060828555
56	0.9033060179
57	0.8967057582
58	0.892494489
59	0.8894282213
60	0.8835155101
61	0.8780606924
62	0.873280804
63	0.8679348477
64	0.8639045084
65	0.8604679132
66	0.8573165981
67	0.8517787927
68	0.8483244383
69	0.8449939057
70	0.842365663
71	0.837675034
72	0.832953552
73	0.8298802638
74	0.8280202098
75	0.8221283044
76	0.8192172463
77	0.8162413034
78	0.8135388444
79	0.8110760282
80	0.8073577684
81	0.8025435539
82	0.7983976051
83	0.7955312694
84	0.7915646498
85	0.7895092457
86	0.7872139568
87	0.7837597926
88	0.7813268389
89	0.7796846515
90	0.7783891003
91	0.7756667616
92	0.7742080124
93	0.7724584484
94	0.7705923736
95	0.7689508248
96	0.7613410643
97	0.7588173609
98	0.7575190585
99	0.7539830693
100	0.7506353003
101	0.749278402
102	0.7482383885
103	0.7446986861
104	0.7410720512
105	0.7377966089
106	0.7368651943
107	0.7357095636
108	0.7344428934
109	0.7335288818
110	0.7323021821
111	0.7314079722
112	0.7287017266
113	0.7269867907
114	0.7244250035
115	0.7232021749
116	0.7217139932
117	0.721094083
118	0.7206210157
119	0.719464101
120	0.7169824241
121	0.7155007845
122	0.7134795638
123	0.7125889097
124	0.7111643868
125	0.7092591285
126	0.706929191
127	0.7065134378
128	0.7041861958
129	0.7030656307
130	0.7021343841
131	0.6999184358
132	0.6981186939
133	0.6961821182
134	0.6950444306
135	0.6938968951
136	0.6929643521
137	0.6923056546
138	0.6909833555
139	0.6895006318
140	0.6885043399
141	0.687878806
142	0.6869485925
143	0.6864378577
144	0.6858075978
145	0.6845922022
146	0.6836546224
147	0.6829358498
148	0.6821946439
149	0.6817760869
150	0.6813190559
151	0.6799402403
152	0.6795254652
153	0.678666071
154	0.6779086377
155	0.6774512961
156	0.6763180226
157	0.6753367108
158	0.6748975417
159	0.6742005785
160	0.6732879909
161	0.6727809882
162	0.6709871559
163	0.6697440278
164	0.668171255
165	0.6671400036
166	0.6668029302
167	0.6662628328
168	0.6650937905
169	0.664440257
170	0.6634722564
171	0.6628816848
172	0.6623000409
173	0.6607509387
174	0.6598695369
175	0.6592857798
176	0.6580312187
177	0.6577821155
178	0.6572344864
179	0.6558655565
180	0.6552948167
181	0.6545949022
182	0.6543923187
183	0.6541455501
184	0.6539763814
185	0.6531652848
186	0.6529311126
187	0.6523741855
188	0.6517076207
189	0.6512899394
190	0.6511012275
191	0.65081563
192	0.6504247424
193	0.6492914157
194	0.6488241394
195	0.648389785
196	0.6482479301
197	0.6471960401
198	0.6467958449
199	0.6465161712
200	0.6461091043
201	0.6458278271
202	0.6455066466
203	0.6452389334
204	0.6447788112
205	0.6445019868
206	0.6443110737
207	0.6441026873
208	0.6440279665
209	0.6433454976
210	0.6422996885
211	0.6420218107
212	0.6415035107
213	0.6413918785
214	0.6410469018
215	0.6408279303
216	0.6404679515
217	0.6401135711
218	0.6399816113
219	0.6394868108
220	0.6392447956
221	0.6389658085
222	0.6387097991
223	0.6384613008
224	0.6383720017
225	0.6381055133
226	0.6373481418
227	0.6371388983
228	0.6368559929
229	0.6359481637
230	0.6357735154
231	0.6354233254
232	0.634833775
233	0.6346566146
234	0.6339168839
235	0.633567658
236	0.6334443685
237	0.6331386769
238	0.6327782834
239	0.6324277904
240	0.6323901739
241	0.6320069626
242	0.631389449
243	0.631288075
244	0.6307713177
245	0.6306154087
246	0.6304561583
247	0.6303048238
248	0.6300509865
249	0.6299155986
250	0.6297786946
251	0.6296455838
252	0.6291116549
253	0.6288827592
254	0.6288286271
255	0.6282375867
256	0.6278497903
257	0.6274966048
258	0.6273895711
259	0.6271307567
260	0.627021357
