iter	Passed	Remaining
0	5	1350
1	9	1265
2	14	1270
3	19	1257
4	24	1228
5	30	1298
6	35	1295
7	41	1296
8	46	1307
9	53	1331
10	58	1336
11	64	1336
12	69	1324
13	74	1314
14	82	1347
15	87	1336
16	92	1333
17	99	1337
18	104	1336
19	110	1334
20	116	1326
21	121	1316
22	126	1310
23	131	1302
24	137	1299
25	144	1303
26	149	1297
27	154	1289
28	160	1287
29	166	1279
30	171	1271
31	177	1271
32	182	1263
33	188	1256
34	194	1254
35	198	1243
36	203	1233
37	209	1226
38	214	1219
39	219	1210
40	224	1207
41	229	1199
42	234	1190
43	240	1186
44	245	1177
45	250	1169
46	256	1167
47	261	1159
48	265	1150
49	272	1149
50	277	1142
51	282	1134
52	287	1129
53	292	1122
54	297	1115
55	303	1112
56	310	1109
57	315	1103
58	321	1099
59	327	1097
60	332	1090
61	338	1086
62	343	1079
63	348	1072
64	354	1067
65	359	1061
66	364	1055
67	370	1051
68	375	1044
69	380	1037
70	387	1037
71	393	1033
72	398	1027
73	404	1022
74	409	1015
75	415	1010
76	420	1005
77	425	998
78	431	993
79	437	989
80	442	983
81	447	977
82	453	971
83	458	965
84	463	959
85	469	954
86	473	947
87	480	943
88	485	938
89	490	931
90	495	926
91	501	920
92	505	913
93	511	908
94	517	903
95	521	897
96	526	890
97	533	886
98	538	880
99	543	874
100	548	868
101	553	862
102	558	856
103	564	851
104	568	845
105	573	838
106	579	833
107	584	828
108	589	822
109	596	818
110	601	812
111	606	806
112	612	801
113	617	795
114	622	790
115	627	784
116	633	779
117	638	773
118	643	768
119	648	762
120	654	756
121	660	752
122	665	746
123	670	740
124	676	736
125	682	731
126	687	725
127	692	719
128	697	714
129	703	708
130	709	703
131	714	698
132	720	693
133	726	688
134	731	682
135	736	677
136	742	671
137	747	666
138	753	661
139	758	655
140	763	649
141	769	644
142	776	640
143	781	634
144	787	629
145	792	623
146	796	618
147	802	612
148	807	606
149	811	600
150	817	595
151	822	589
152	827	583
153	832	578
154	837	572
155	842	566
156	846	560
157	852	555
158	856	549
159	861	544
160	867	538
161	872	533
162	878	528
163	884	523
164	890	518
165	897	513
166	902	508
167	908	502
168	915	498
169	920	492
170	925	487
171	931	481
172	935	476
173	940	470
174	946	465
175	952	459
176	957	454
177	963	449
178	969	443
179	974	438
180	980	433
181	985	427
182	989	421
183	995	416
184	1000	410
185	1004	405
186	1010	399
187	1015	394
188	1019	388
189	1025	383
190	1031	377
191	1036	372
192	1042	367
193	1048	362
194	1055	357
195	1061	351
196	1066	346
197	1075	342
198	1083	337
199	1089	332
200	1096	327
201	1103	322
202	1109	316
203	1115	311
204	1123	306
205	1128	301
206	1133	295
207	1138	290
208	1144	284
209	1149	279
210	1155	273
211	1160	268
212	1165	262
213	1171	257
214	1176	251
215	1182	246
216	1190	241
217	1196	236
218	1203	230
219	1208	225
220	1213	219
221	1219	214
222	1224	208
223	1228	202
224	1233	197
225	1239	191
226	1244	186
227	1248	180
228	1254	175
229	1260	169
230	1265	164
231	1271	158
232	1276	153
233	1282	147
234	1288	142
235	1294	137
236	1302	131
237	1307	126
238	1312	120
239	1319	115
240	1324	109
241	1336	104
242	1342	99
243	1353	94
244	1361	88
245	1367	83
246	1373	77
247	1379	72
248	1385	66
249	1390	61
250	1398	55
251	1405	50
252	1412	44
253	1418	39
254	1423	33
255	1429	27
256	1435	22
257	1448	16
258	1458	11
259	1466	5
260	1471	0
